         ps       /tb_hybrid_control/HC_inst/o_sigma        /tb_hybrid_control/HC_inst/vC_32      /tb_hybrid_control/HC_inst/stheta        /tb_hybrid_control/HC_inst/jump             /tb_hybrid_control/HC_inst/z12                                 
          delta             /tb_hybrid_control/HC_inst/i_vC              /tb_hybrid_control/HC_inst/iC_32          /tb_hybrid_control/HC_inst/z1          /tb_hybrid_control/HC_inst/jump_1         /tb_hybrid_control/HC_inst/z22                    
                                   /tb_hybrid_control/HC_inst/i_iC                   /tb_hybrid_control/HC_inst/ctheta          /tb_hybrid_control/HC_inst/z2          /tb_hybrid_control/HC_inst/jump_2                                              
                                             /tb_hybrid_control/HC_inst/i_theta                                                             /tb_hybrid_control/HC_inst/sigma                                                                          
                                                                                                                                                 /tb_hybrid_control/HC_inst/s2                                                                        
          0  +0                                  StX      x      x            x            x            x            x            x            x            x            x 1 0            x            x            x            x 
   12100000  +1                                  St0  -5020  -6472          314        -5020        -6472        -1000            2        -3054        -6472      6465892 0 0      6465892     -3066944        -3054        -6472 
   12200000  +1                                  St0  -5221  -6311          314        -5221        -6311        -1000            2        -3255        -6311      6304490 0 0      6304490     -3267622        -3255        -6311 
   12300000  +1                                  St0  -5416  -6144          314        -5416        -6144        -1000            2        -3450        -6144      6137100 0 0      6137100     -3462288        -3450        -6144 
   12400000  +1                                  St0  -5607  -5970          314        -5607        -5970        -1000            2        -3641        -5970      5962718 0 0      5962718     -3652940        -3641        -5970 
   12500000  +1                                  St0  -5791  -5791          314        -5791        -5791        -1000            2        -3825        -5791      5783350 0 0      5783350     -3836582        -3825        -5791 
   12600000  +1                                  St0  -5970  -5607          314        -5970        -5607        -1000            2        -4004        -5607      5598992 0 0      5598992     -4015214        -4004        -5607 
   12700000  +1                                  St0  -6144  -5416          314        -6144        -5416        -1000            2        -4178        -5416      5407644 0 0      5407644     -4188832        -4178        -5416 
   12800000  +1                                  St0  -6311  -5221          314        -6311        -5221        -1000            2        -4345        -5221      5212310 0 0      5212310     -4355442        -4345        -5221 
   12900000  +1                                  St0  -6472  -5020          314        -6472        -5020        -1000            2        -4506        -5020      5010988 0 0      5010988     -4516040        -4506        -5020 
   13000000  +1                                  St0  -6626  -4814          314        -6626        -4814        -1000            2        -4660        -4814      4804680 0 0      4804680     -4669628        -4660        -4814 
   13100000  +1                                  St0  -6774  -4604          314        -6774        -4604        -1000            2        -4808        -4604      4594384 0 0      4594384     -4817208        -4808        -4604 
   13200000  +1                                  St0  -6915  -4388          314        -6915        -4388        -1000            2        -4949        -4388      4378102 0 0      4378102     -4957776        -4949        -4388 
   13300000  +1                                  St0  -7050  -4169          314        -7050        -4169        -1000            2        -5084        -4169      4158832 0 0      4158832     -5092338        -5084        -4169 
   13400000  +1                                  St0  -7177  -3946          314        -7177        -3946        -1000            2        -5211        -3946      3935578 0 0      3935578     -5218892        -5211        -3946 
   13500000  +1                                  St0  -7298  -3718          314        -7298        -3718        -1000            2        -5332        -3718      3707336 0 0      3707336     -5339436        -5332        -3718 
   13600000  +1                                  St0  -7411  -3487          314        -7411        -3487        -1000            2        -5445        -3487      3476110 0 0      3476110     -5451974        -5445        -3487 
   13700000  +1                                  St0  -7517  -3253          314        -7517        -3253        -1000            2        -5551        -3253      3241898 0 0      3241898     -5557506        -5551        -3253 
   13800000  +1                                  St0  -7615  -3015          314        -7615        -3015        -1000            2        -5649        -3015      3003702 0 0      3003702     -5655030        -5649        -3015 
   13900000  +1                                  St0  -7706  -2774          314        -7706        -2774        -1000            2        -5740        -2774      2762520 0 0      2762520     -5745548        -5740        -2774 
   14000000  +1                                  St0  -7790  -2531          314        -7790        -2531        -1000            2        -5824        -2531      2519352 0 0      2519352     -5829062        -5824        -2531 
   14100000  +1                                  St0  -7865  -2285          314        -7865        -2285        -1000            2        -5899        -2285      2273202 0 0      2273202     -5903570        -5899        -2285 
   14200000  +1                                  St0  -7933  -2037          314        -7933        -2037        -1000            2        -5967        -2037      2025066 0 0      2025066     -5971074        -5967        -2037 
   14300000  +1                                  St0  -7993  -1786          314        -7993        -1786        -1000            2        -6027        -1786      1773946 0 0      1773946     -6030572        -6027        -1786 
   14400000  +1                                  St0  -8045  -1534          314        -8045        -1534        -1000            2        -6079        -1534      1521842 0 0      1521842     -6082068        -6079        -1534 
   14500000  +1                                  St0  -8090  -1281          314        -8090        -1281        -1000            2        -6124        -1281      1268752 0 0      1268752     -6126562        -6124        -1281 
   14600000  +1                                  St0  -8126  -1026          314        -8126        -1026        -1000            2        -6160        -1026      1013680 0 0      1013680     -6162052        -6160        -1026 
   14700000  +1                                  St0  -8154   -770          314        -8154         -770        -1000            2        -6188         -770       757624 0 0       757624     -6189540        -6188         -770 
   14800000  +1                                  St0  -8174   -514          314        -8174         -514        -1000            2        -6208         -514       501584 0 0       501584     -6209028        -6208         -514 
   14900000  +1                                  St0  -8186   -257          314        -8186         -257        -1000            2        -6220         -257       244560 0 0       244560     -6220514        -6220         -257 
   15000000  +1                                  St0  -8191      0          314        -8191            0        -1000            2        -6225            0       -12450 0 0       -12450     -6225000        -6225            0 
   15000000  +2                                  St0  -8191      0          314        -8191            0        -1000            2        -6225            0       -12450 1 1       -12450     -6225000        -6225            0 
   15000000  +3                                  St1  -8191      0          314        -8191            0        -1000            2        -6225            0       -12450 1 1       -12450     -6225000        -6225            0 
   15010000  +2                                  St1  -8191      0          314        -8191            0        -1000            2       -10157            0       -20314 1 1        20314     10157000       -10157            0 
   15100000  +1                                  St1  -8186    257          314        -8186          257        -1000            2       -10152          257      -277304 1 1       277304     10151486       -10152          257 
